,precision,recall,f1-score,support
0,0.8378378378378378,0.7948717948717948,0.8157894736842105,39.0
1,0.7948717948717948,0.8378378378378378,0.8157894736842105,37.0
accuracy,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.8157894736842105
macro avg,0.8163548163548163,0.8163548163548163,0.8157894736842105,76.0
weighted avg,0.8169201590254221,0.8157894736842105,0.8157894736842105,76.0
