,precision,recall,f1-score,support
0,0.8333333333333334,0.8974358974358975,0.8641975308641975,39.0
1,0.8823529411764706,0.8108108108108109,0.8450704225352113,37.0
accuracy,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.8552631578947368
macro avg,0.857843137254902,0.8541233541233542,0.8546339766997044,76.0
weighted avg,0.8571981424148608,0.8552631578947368,0.8548856491777173,76.0
