,precision,recall,f1-score,support
0,0.8947368421052632,0.8717948717948718,0.8831168831168831,39.0
1,0.868421052631579,0.8918918918918919,0.88,37.0
accuracy,0.881578947368421,0.881578947368421,0.881578947368421,0.881578947368421
macro avg,0.881578947368421,0.8818433818433818,0.8815584415584415,76.0
weighted avg,0.8819252077562327,0.881578947368421,0.8815994531784006,76.0
