,precision,recall,f1-score,support
0,0.8536585365853658,0.8974358974358975,0.875,39.0
1,0.8857142857142857,0.8378378378378378,0.8611111111111112,37.0
accuracy,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579
macro avg,0.8696864111498257,0.8676368676368676,0.8680555555555556,76.0
weighted avg,0.8692646249770767,0.868421052631579,0.8682383040935673,76.0
