,precision,recall,f1-score,support
0,0.9666666666666667,0.9775280898876404,0.9720670391061452,89.0
1,0.9622641509433962,0.9444444444444444,0.9532710280373832,54.0
accuracy,0.965034965034965,0.965034965034965,0.965034965034965,0.965034965034965
macro avg,0.9644654088050315,0.9609862671660424,0.9626690335717643,143.0
weighted avg,0.9650041782117255,0.965034965034965,0.9649692447165427,143.0
