,precision,recall,f1-score,support
0,0.9886363636363636,0.9775280898876404,0.9830508474576272,89.0
1,0.9636363636363636,0.9814814814814815,0.9724770642201835,54.0
accuracy,0.9790209790209791,0.9790209790209791,0.9790209790209791,0.9790209790209791
macro avg,0.9761363636363636,0.9795047856845609,0.9777639558389053,143.0
weighted avg,0.9791958041958042,0.9790209790209791,0.9790579502910401,143.0
