,precision,recall,f1-score,support
0,0.9767441860465116,0.9438202247191011,0.96,89.0
1,0.9122807017543859,0.9629629629629629,0.9369369369369369,54.0
accuracy,0.951048951048951,0.951048951048951,0.951048951048951,0.951048951048951
macro avg,0.9445124439004488,0.953391593841032,0.9484684684684684,143.0
weighted avg,0.9524013318382963,0.951048951048951,0.9512908712908712,143.0
