,precision,recall,f1-score,support
0,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0
1,0.9629629629629629,0.9629629629629629,0.9629629629629629,54.0
accuracy,0.972027972027972,0.972027972027972,0.972027972027972,0.972027972027972
macro avg,0.9702455264253016,0.9702455264253016,0.9702455264253016,143.0
weighted avg,0.972027972027972,0.972027972027972,0.972027972027972,143.0
