,precision,recall,f1-score,support
0,0.7709923664122137,0.8211382113821138,0.7952755905511811,123.0
1,0.639344262295082,0.5652173913043478,0.6,69.0
accuracy,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666
macro avg,0.7051683143536478,0.6931778013432308,0.6976377952755906,192.0
weighted avg,0.7236813289951195,0.7291666666666666,0.7250984251968503,192.0
