,precision,recall,f1-score,support
0,0.8288288288288288,0.7479674796747967,0.7863247863247863,123.0
1,0.6172839506172839,0.7246376811594203,0.6666666666666666,69.0
accuracy,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.7395833333333334
macro avg,0.7230563897230564,0.7363025804171085,0.7264957264957265,192.0
weighted avg,0.7528048882215548,0.7395833333333334,0.7433226495726496,192.0
