,precision,recall,f1-score,support
0,0.7983193277310925,0.7723577235772358,0.7851239669421488,123.0
1,0.6164383561643836,0.6521739130434783,0.6338028169014085,69.0
accuracy,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666
macro avg,0.707378841947738,0.712265818310357,0.7094633919217787,192.0
weighted avg,0.7329558535743065,0.7291666666666666,0.7307429286462578,192.0
