,precision,recall,f1-score,support
0,0.7966101694915254,0.7642276422764228,0.7800829875518672,123.0
1,0.6081081081081081,0.6521739130434783,0.6293706293706294,69.0
accuracy,0.7239583333333334,0.7239583333333334,0.7239583333333334,0.7239583333333334
macro avg,0.7023591387998167,0.7082007776599506,0.7047268084612484,192.0
weighted avg,0.7288672411818599,0.7239583333333334,0.7259207338304848,192.0
